Purchase_ID,Date,Time,Flavor,Price,Customer_Age,Customer_Location,Latitude,Longitude,Reason,Rating,Season
1,2024-07-07,21:05,Cookies & Cream,3.37,14,"Chicago, IL",41.8781,-87.6298,,2,Fall
2,2024-01-15,15:40,Coffee,3.88,25,"Boston, MA",42.3601,-71.0589,Seasonal choice,3,Spring
3,2024-04-30,11:00,Rocky Road,3.79,39,"Dallas, TX",32.7767,-96.797,Favorite flavor,4,Summer
4,2024-07-19,10:34,Matcha,4.4,65,"Miami, FL",25.7617,-80.1918,Recommended,3,Fall
5,2024-02-14,19:51,Pistachio,5.23,21,"Seattle, WA",47.6062,-122.3321,Loves flavor,4,Spring
6,2024-03-29,13:38,Peppermint,3.25,45,"Los Angeles, CA",34.0522,-118.2437,Seasonal choice,2,Spring
7,2024-01-22,12:02,Coffee,4.28,57,"Denver, CO",39.7392,-104.9903,Recommended,1,Spring
8,2024-01-07,13:58,Cookies & Cream,5.55,25,"Boston, MA",42.3601,-71.0589,Trying new,5,Spring
9,2024-08-04,19:36,Cookies & Cream,3.6,31,"Dallas, TX",32.7767,-96.797,Loves flavor,5,Fall
10,2024-05-31,14:05,Mango,3.05,76,"Phoenix, AZ",33.4484,-112.074,Seasonal choice,2,Summer
11,2024-11-22,20:35,Mango,5.76,19,"Dallas, TX",32.7767,-96.797,,1,Winter
12,2024-12-12,15:35,Mango,3.07,27,"Houston, TX",29.7604,-95.3698,Trying new,5,Winter
13,2024-09-10,11:14,Mango,3.49,71,"Los Angeles, CA",34.0522,-118.2437,Trying new,4,Fall
14,2024-08-22,12:58,Mango,3.82,70,"Boston, MA",42.3601,-71.0589,Trying new,3,Fall
15,2024-06-13,12:34,Pistachio,3.35,43,"Seattle, WA",47.6062,-122.3321,Seasonal choice,4,Summer
16,2024-12-26,12:50,Matcha,4.26,19,"Denver, CO",39.7392,-104.9903,Trying new,2,Winter
17,2024-11-28,11:48,Rocky Road,4.44,74,"Chicago, IL",41.8781,-87.6298,Loves flavor,2,Winter
18,2024-01-27,16:38,Cookies & Cream,3.23,41,"New York, NY",40.7128,-74.006,Favorite flavor,5,Spring
19,2024-06-08,14:21,Pistachio,4.46,62,"San Francisco, CA",37.7749,-122.4194,,1,Summer
20,2024-05-29,12:21,Vanilla,3.6,21,"Boston, MA",42.3601,-71.0589,,4,Summer
21,2024-06-26,20:21,Chocolate,4.01,71,"San Francisco, CA",37.7749,-122.4194,Seasonal choice,1,Summer
22,2024-06-25,17:51,Coffee,5.14,66,"San Francisco, CA",37.7749,-122.4194,Seasonal choice,2,Summer
23,2024-03-30,20:12,Strawberry,4.24,58,"Boston, MA",42.3601,-71.0589,Loves flavor,1,Spring
24,2024-06-07,11:39,Chocolate,3.23,26,"Phoenix, AZ",33.4484,-112.074,Recommended,5,Summer
25,2024-04-02,20:29,Pistachio,4.24,53,"San Francisco, CA",37.7749,-122.4194,Recommended,5,Summer
26,2024-02-02,18:57,Chocolate,3.87,76,"Miami, FL",25.7617,-80.1918,Loves flavor,4,Spring
27,2024-05-13,12:19,Pistachio,3.01,37,"Phoenix, AZ",33.4484,-112.074,Recommended,1,Summer
28,2024-02-03,17:43,Vanilla,3.98,70,"Dallas, TX",32.7767,-96.797,Loves flavor,3,Spring
29,2024-07-03,13:31,Rocky Road,3.84,78,"New York, NY",40.7128,-74.006,Trying new,2,Fall
30,2024-04-10,17:10,Rocky Road,5.65,57,"Los Angeles, CA",34.0522,-118.2437,Trying new,4,Summer
31,2024-10-02,16:27,Rocky Road,5.32,76,"Chicago, IL",41.8781,-87.6298,Trying new,4,Winter
32,2024-01-13,15:14,Mango,5.31,33,"New York, NY",40.7128,-74.006,Seasonal choice,2,Spring
33,2024-09-22,14:24,Vanilla,3.29,12,"Boston, MA",42.3601,-71.0589,Loves flavor,2,Fall
34,2024-11-26,21:57,Peppermint,5.88,15,"Miami, FL",25.7617,-80.1918,Trying new,2,Winter
35,2024-04-29,22:59,Peppermint,5.35,61,"San Francisco, CA",37.7749,-122.4194,,3,Summer
36,2024-11-01,16:27,Coffee,5.69,47,"Chicago, IL",41.8781,-87.6298,Loves flavor,1,Winter
37,2024-03-27,11:40,Vanilla,3.78,57,"Phoenix, AZ",33.4484,-112.074,Recommended,1,Spring
38,2024-12-08,11:18,Matcha,4.63,49,"San Francisco, CA",37.7749,-122.4194,Recommended,2,Winter
39,2024-12-31,18:41,Rocky Road,5.43,50,"Phoenix, AZ",33.4484,-112.074,Trying new,3,Winter
40,2024-04-12,17:24,Rocky Road,5.18,57,"Los Angeles, CA",34.0522,-118.2437,Favorite flavor,3,Summer
41,2024-07-20,22:03,Strawberry,5.32,25,"Atlanta, GA",33.749,-84.388,,1,Fall
42,2024-05-04,15:36,Coffee,4.78,44,"Chicago, IL",41.8781,-87.6298,Trying new,1,Summer
43,2024-02-17,22:48,Strawberry,3.26,51,"Miami, FL",25.7617,-80.1918,,4,Spring
44,2024-02-16,14:02,Vanilla,3.24,51,"Seattle, WA",47.6062,-122.3321,Seasonal choice,5,Spring
45,2024-02-29,16:06,Coffee,3.37,13,"Los Angeles, CA",34.0522,-118.2437,Loves flavor,4,Spring
46,2024-06-11,18:23,Vanilla,3.6,55,"Dallas, TX",32.7767,-96.797,Trying new,4,Summer
47,2024-06-14,13:02,Matcha,3.01,44,"New York, NY",40.7128,-74.006,Loves flavor,5,Summer
48,2024-09-25,12:30,Coffee,4.38,33,"Denver, CO",39.7392,-104.9903,Recommended,4,Fall
49,2024-11-27,11:12,Rocky Road,5.0,17,"Denver, CO",39.7392,-104.9903,Seasonal choice,2,Winter
50,2024-06-21,13:12,Strawberry,5.62,25,"Chicago, IL",41.8781,-87.6298,Recommended,5,Summer
51,2024-08-04,19:36,Peppermint,4.71,39,"Atlanta, GA",33.749,-84.388,Loves flavor,3,Fall
52,2024-03-30,21:30,Peppermint,4.79,41,"Seattle, WA",47.6062,-122.3321,Favorite flavor,5,Spring
53,2024-10-06,16:03,Chocolate,5.46,57,"Seattle, WA",47.6062,-122.3321,Seasonal choice,1,Winter
54,2024-08-25,18:48,Cookies & Cream,3.58,58,"Boston, MA",42.3601,-71.0589,Seasonal choice,5,Fall
55,2024-04-04,14:25,Coffee,3.05,46,"Chicago, IL",41.8781,-87.6298,Trying new,4,Summer
56,2024-05-11,10:04,Coffee,5.43,62,"Miami, FL",25.7617,-80.1918,Seasonal choice,3,Summer
57,2024-05-15,16:19,Peppermint,5.69,79,"New York, NY",40.7128,-74.006,Favorite flavor,5,Summer
58,2024-09-10,15:53,Chocolate,5.32,67,"San Francisco, CA",37.7749,-122.4194,Favorite flavor,3,Fall
59,2024-09-14,15:33,Peppermint,3.06,76,"Atlanta, GA",33.749,-84.388,Favorite flavor,3,Fall
60,2024-02-04,10:35,Pistachio,5.54,12,"Miami, FL",25.7617,-80.1918,Favorite flavor,2,Spring
61,2024-10-22,20:20,Strawberry,3.11,74,"Chicago, IL",41.8781,-87.6298,Trying new,3,Winter
62,2024-10-28,20:20,Strawberry,4.13,36,"Boston, MA",42.3601,-71.0589,Recommended,3,Winter
63,2024-12-19,17:56,Coffee,4.23,78,"Seattle, WA",47.6062,-122.3321,Favorite flavor,2,Winter
64,2024-04-10,18:50,Strawberry,5.01,26,"Seattle, WA",47.6062,-122.3321,Trying new,2,Summer
65,2024-04-18,22:48,Mango,5.63,24,"New York, NY",40.7128,-74.006,Recommended,1,Summer
66,2024-12-17,19:15,Peppermint,3.65,51,"New York, NY",40.7128,-74.006,Trying new,1,Winter
67,2024-05-27,12:02,Coffee,4.51,38,"Atlanta, GA",33.749,-84.388,Recommended,1,Summer
68,2024-06-29,18:53,Mango,4.81,11,"Miami, FL",25.7617,-80.1918,Loves flavor,1,Summer
69,2024-02-07,15:01,Matcha,3.05,34,"Dallas, TX",32.7767,-96.797,Seasonal choice,4,Spring
70,2024-12-13,22:34,Rocky Road,5.1,13,"San Francisco, CA",37.7749,-122.4194,Recommended,4,Winter
71,2024-07-12,20:22,Vanilla,5.57,18,"Chicago, IL",41.8781,-87.6298,Loves flavor,2,Fall
72,2024-11-26,10:25,Cookies & Cream,4.85,23,"Denver, CO",39.7392,-104.9903,Recommended,5,Winter
73,2024-06-17,21:26,Coffee,5.87,62,"Chicago, IL",41.8781,-87.6298,Trying new,3,Summer
74,2024-11-11,19:57,Mango,5.39,27,"New York, NY",40.7128,-74.006,Favorite flavor,2,Winter
75,2024-09-13,14:12,Chocolate,3.8,46,"Phoenix, AZ",33.4484,-112.074,Favorite flavor,1,Fall
76,2024-11-04,11:30,Cookies & Cream,5.12,31,"Miami, FL",25.7617,-80.1918,Seasonal choice,3,Winter
77,2024-11-22,13:31,Coffee,3.69,76,"Los Angeles, CA",34.0522,-118.2437,Favorite flavor,1,Winter
78,2024-07-02,13:40,Peppermint,5.23,33,"Seattle, WA",47.6062,-122.3321,Seasonal choice,3,Fall
79,2024-08-06,15:25,Vanilla,3.1,44,"Seattle, WA",47.6062,-122.3321,Loves flavor,1,Fall
80,2024-12-23,13:25,Matcha,5.23,37,"Chicago, IL",41.8781,-87.6298,Favorite flavor,3,Winter
81,2024-03-09,19:58,Peppermint,3.11,32,"Dallas, TX",32.7767,-96.797,,5,Spring
82,2024-09-14,11:59,Rocky Road,5.38,38,"Miami, FL",25.7617,-80.1918,Recommended,1,Fall
83,2024-04-18,13:41,Vanilla,4.25,53,"Chicago, IL",41.8781,-87.6298,,2,Summer
84,2024-03-09,14:09,Matcha,5.34,76,"Houston, TX",29.7604,-95.3698,Seasonal choice,3,Spring
85,2024-01-02,19:41,Coffee,3.21,55,"Miami, FL",25.7617,-80.1918,Seasonal choice,2,Spring
86,2024-04-20,14:41,Pistachio,5.16,28,"New York, NY",40.7128,-74.006,Trying new,1,Summer
87,2024-05-13,21:29,Matcha,4.76,51,"Houston, TX",29.7604,-95.3698,Favorite flavor,1,Summer
88,2024-03-08,12:52,Peppermint,4.08,28,"Houston, TX",29.7604,-95.3698,Trying new,2,Spring
89,2024-12-29,22:04,Chocolate,5.38,42,"New York, NY",40.7128,-74.006,Recommended,4,Winter
90,2024-04-22,22:14,Rocky Road,3.88,12,"San Francisco, CA",37.7749,-122.4194,,2,Summer
91,2024-10-27,12:59,Pistachio,4.51,16,"Phoenix, AZ",33.4484,-112.074,Recommended,1,Winter
92,2024-02-15,15:31,Peppermint,3.66,52,"Miami, FL",25.7617,-80.1918,Seasonal choice,3,Spring
93,2024-02-07,13:58,Peppermint,5.14,13,"Atlanta, GA",33.749,-84.388,Recommended,2,Spring
94,2024-09-03,19:38,Mango,5.93,56,"Seattle, WA",47.6062,-122.3321,,4,Fall
95,2024-11-12,22:36,Coffee,4.38,75,"Seattle, WA",47.6062,-122.3321,,1,Winter
96,2024-11-11,12:46,Cookies & Cream,5.58,14,"New York, NY",40.7128,-74.006,Favorite flavor,3,Winter
97,2024-11-08,12:31,Chocolate,4.12,53,"Chicago, IL",41.8781,-87.6298,Favorite flavor,2,Winter
98,2024-08-02,19:34,Coffee,3.11,33,"Boston, MA",42.3601,-71.0589,Trying new,1,Fall
99,2024-12-17,20:54,Vanilla,5.77,76,"Houston, TX",29.7604,-95.3698,Loves flavor,5,Winter
100,2024-01-26,11:05,Pistachio,5.99,66,"San Francisco, CA",37.7749,-122.4194,Favorite flavor,3,Spring
101,2024-01-02,16:48,Matcha,3.93,72,"Los Angeles, CA",34.0522,-118.2437,Loves flavor,1,Spring
102,2024-05-17,20:42,Coffee,3.95,71,"Phoenix, AZ",33.4484,-112.074,Seasonal choice,3,Summer
103,2024-03-08,20:04,Peppermint,5.25,60,"Chicago, IL",41.8781,-87.6298,Seasonal choice,1,Spring
104,2024-07-01,12:59,Matcha,4.26,26,"Chicago, IL",41.8781,-87.6298,Recommended,4,Fall
105,2024-03-08,16:03,Chocolate,3.44,78,"Phoenix, AZ",33.4484,-112.074,Trying new,3,Spring
106,2024-04-02,21:13,Vanilla,5.45,40,"Chicago, IL",41.8781,-87.6298,Loves flavor,3,Summer
107,2024-06-25,11:36,Matcha,5.05,76,"Denver, CO",39.7392,-104.9903,Favorite flavor,2,Summer
108,2024-03-16,21:36,Vanilla,3.66,44,"Atlanta, GA",33.749,-84.388,Loves flavor,1,Spring
109,2024-01-11,22:49,Rocky Road,5.63,74,"San Francisco, CA",37.7749,-122.4194,Trying new,1,Spring
110,2024-01-05,19:07,Matcha,4.54,51,"New York, NY",40.7128,-74.006,Recommended,3,Spring
111,2024-06-07,12:15,Mango,5.24,66,"Phoenix, AZ",33.4484,-112.074,Favorite flavor,5,Summer
